GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Putting it all together,com.lucidtech.maveninactionwithgithubactions,MavenInActionWithGitHubActionsApplication,0,8,0,0,0,3,0,2,0,2
Putting it all together,com.lucidtech.maveninactionwithgithubactions.model,Greeting,0,9,0,0,0,1,0,1,0,1
Putting it all together,com.lucidtech.maveninactionwithgithubactions.controller,GreetingController,0,23,0,0,0,3,0,2,0,2
